strategy,complexity,workload,seed,read_avg_ms,read_p95_ms,throughput_qps,load_cv,staleness_pct,router_overhead_ms,avg_cpu_pct,total_queries,total_reads,total_writes,errors,duration_s
latency_based,complex,balanced,142,14540.338451247542,61141.364600043744,4.728608230001527,0.40793541062482863,0.0,0.005570585644783824,10.501344086021506,3148,2203,945,0,665.734999999986
latency_based,complex,balanced,242,14316.029022945004,61466.40779997688,4.869133122956162,0.39183725764702315,0.0,0.005451385130569868,10.504237288135593,3069,2153,916,0,630.2970000000205
latency_based,complex,balanced,342,14171.76618248353,63427.54279996734,5.003371238152542,0.42044187873687816,0.0,0.006411564233192434,10.507246376811594,3087,2158,929,0,616.9839999999385
latency_based,complex,balanced,442,13757.446189776454,59183.78960003611,5.166599435256152,0.40760982386795724,0.0,0.005270549032760367,10.502849002849002,3202,2210,992,0,619.75
latency_based,complex,balanced,542,15141.79065411017,62797.10259998683,4.430302395418452,0.3571722615908057,0.0,0.004932644191291336,10.5,3045,2166,879,0,687.3120000000345
latency_based,complex,read_heavy,142,4139.772422253927,16098.090399987996,12.613790708253491,0.8903367594213906,0.0,0.006082807199243599,10.631172839506172,7736,7347,389,0,613.2970000000205
latency_based,complex,read_heavy,242,3992.370460541146,16746.65049999021,13.076450362373473,0.938415286891577,0.0,0.005806702469236547,10.641509433962264,7937,7547,390,0,606.969000000041
latency_based,complex,read_heavy,342,4056.6983861902886,15806.262900005095,12.816309353116054,0.8954543963897472,0.0,0.005529246671606304,10.641744548286605,7857,7487,370,0,613.0470000000205
latency_based,complex,read_heavy,442,4126.48979584898,16428.614599979483,12.689111021908511,0.8796415539247725,0.0,0.005521909863241649,10.638364779874214,7713,7297,416,0,607.8439999999246
latency_based,complex,read_heavy,542,4046.5274318351894,16120.671499986202,12.955769582263265,0.8799317081951944,0.0,0.005905846826638411,10.644654088050315,7868,7454,414,0,607.2970000000205
latency_based,medium,balanced,142,384.57341468271284,945.0312999542803,181.44150655569658,0.9173015403551443,0.0,0.004034016704286811,10.739495798319327,108950,76211,32739,0,600.469000000041
latency_based,medium,balanced,242,394.67789014341594,969.7049000533298,175.92442986759426,0.882071723142702,0.0,0.004185341071602533,10.743697478991598,105615,74111,31504,0,600.3429999999935
latency_based,medium,balanced,342,392.05800472783534,990.754299913533,176.98438475952528,0.8679983191588808,0.0,0.00408558587444177,10.743697478991598,106257,74541,31716,0,600.375
latency_based,medium,balanced,442,383.5697176836256,957.0173999527469,181.65252728306882,0.8931635369344834,0.0,0.003946195906806166,10.745098039215685,109159,76449,32710,0,600.9220000000205
latency_based,medium,balanced,542,380.99582638798637,959.7542999545112,182.04000978039653,0.9006450574263668,0.0,0.0038270506371382903,10.743697478991598,109443,76717,32726,0,601.2029999999795
latency_based,medium,read_heavy,142,46.303372101547076,110.62360007781535,1107.7031265101045,1.4347929092164962,0.0,0.003474684585650726,10.745833333333332,664726,631871,32855,0,600.094000000041
latency_based,medium,read_heavy,242,43.79562222475498,107.71770006977022,1173.84971510561,1.4905438469835448,0.0,0.003555750171652108,10.744444444444445,704365,668885,35480,0,600.0470000000205
latency_based,medium,read_heavy,342,44.396323720487196,108.36479999125004,1158.0084091171093,1.4872716403850357,0.0,0.003471641906922826,10.746498599439775,694878,660332,34546,0,600.0629999999655
latency_based,medium,read_heavy,442,53.374678531092684,121.20089994277805,964.9484776620534,1.5044265598423274,0.0,0.0035118284223421966,10.747899159663865,578999,550175,28824,0,600.030999999959
latency_based,medium,read_heavy,542,50.92182263709867,117.42549994960427,1013.865444699021,1.5025377311758472,0.0,0.003567462115779016,10.746498599439775,608446,578154,30292,0,600.125
latency_based,simple,balanced,142,3.9212748972784808,8.566500036977232,1701.1342939367757,0.29025954001835547,0.0,0.002694503729142038,10.745833333333332,1020866,714476,306390,0,600.1089999999385
latency_based,simple,balanced,242,4.078893185039188,8.705600048415363,1726.9242883019624,0.18102939562102546,0.0,0.0027034450922214003,10.745833333333332,1036291,725249,311042,0,600.079000000027
